Company_Name,New_Hires_Approved_2025,Approval_Rate_%,H1B_Priority_Score,Sponsorship_Tier,Industry,City,State,Scrape_Order,ATS_Type
LINKEDIN CORPORATION,169.0,99.4,70,Tier 1 - High Volume (100+ new hires),51 - Information,SUNNYVALE,CA,1,Custom
DELOITTE CONSULTING LLP,182.0,100.0,70,Tier 1 - High Volume (100+ new hires),"54 - Professional, Scientific, and Technical Services",PHILADELPHIA,PA,2,Workday
UBER TECHNOLOGIES INC,209.0,99.5,70,Tier 1 - High Volume (100+ new hires),"54 - Professional, Scientific, and Technical Services",SAN FRANCISCO,CA,3,Custom
COGNIZANT TECHNOLOGY SOLUTIONS US CORP,397.0,100.0,70,Tier 1 - High Volume (100+ new hires),"54 - Professional, Scientific, and Technical Services",COLLEGE STA,TX,4,iCIMS
TIKTOK INC,373.0,96.4,70,Tier 1 - High Volume (100+ new hires),51 - Information,CULVER CITY,CA,5,Custom
BOFA SECURITIES INC,139.0,99.3,70,Tier 1 - High Volume (100+ new hires),52 - Finance and Insurance,CHARLOTTE,NC,6,Workday
CAPITAL ONE SERVICES LLC,130.0,100.0,70,Tier 1 - High Volume (100+ new hires),52 - Finance and Insurance,RICHMOND,VA,7,Workday
BOSTON CONSULTING GROUP INC,235.0,99.2,70,Tier 1 - High Volume (100+ new hires),"54 - Professional, Scientific, and Technical Services",BOSTON,MA,8,Custom
BLACKROCK FINANCIAL MANAGEMENT INC,104.0,100.0,70,Tier 1 - High Volume (100+ new hires),52 - Finance and Insurance,PRINCETON,NJ,9,Workday
DELOITTE AND TOUCHE LLP,151.0,98.7,70,Tier 1 - High Volume (100+ new hires),"54 - Professional, Scientific, and Technical Services",PHILADELPHIA,PA,10,Workday
INTUIT INC,198.0,99.5,70,Tier 1 - High Volume (100+ new hires),"54 - Professional, Scientific, and Technical Services",MOUNTAIN VIEW,CA,11,Greenhouse
FIDELITY TECHNOLOGY GROUP LLC D B A FIDELITY INVESTMENTS,166.0,100.0,70,Tier 1 - High Volume (100+ new hires),52 - Finance and Insurance,BOSTON,MA,12,Greenhouse/Lever (Likely)
ORACLE AMERICA INC,467.0,99.2,70,Tier 1 - High Volume (100+ new hires),51 - Information,AUSTIN,TX,13,Taleo
UST GLOBAL INC,115.0,98.3,70,Tier 1 - High Volume (100+ new hires),"54 - Professional, Scientific, and Technical Services",ALISO VIEJO,CA,14,Workday/Custom (Likely)
TECH MAHINDRA AMERICAS INC,289.0,96.7,70,Tier 1 - High Volume (100+ new hires),"54 - Professional, Scientific, and Technical Services",BEDMINSTER,NJ,15,Greenhouse/Lever (Likely)
ADOBE INC,183.0,100.0,70,Tier 1 - High Volume (100+ new hires),"54 - Professional, Scientific, and Technical Services",SAN JOSE,CA,16,Workday/Custom (Likely)
